ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"RT6150BGQW"	"U2"	"WSON-10_L2.5-W2.5-P0.50-BL-EP"	"1"	"RT6150BGQW"	"RICHTEK"	"LCSC"	"C147972"	"1.739"
"2"	"100k"	"R23,R15"	"R0805"	"2"	""	""	""	""	""
"3"	"1MΩ"	"R22,R21"	"R0805"	"2"	"0805W8F1004T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C17514"	"0.002"
"4"	"100kΩ"	"R20"	"R0805"	"1"	"0805W8F1003T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C149504"	"0.002"
"5"	"2.2uH"	"L1"	"IND-SMD_L4.9-W4.9_NRS50XX"	"1"	"NRS5020T2R2NMGJ"	"TAIYO YUDEN(太诱)"	"LCSC"	"C222917"	"0.176"
"6"	"10u"	"C4"	"C0805"	"1"	""	""	""	""	""
"7"	"LED-0805_R"	"LED2,LED1"	"LED0805_RED"	"2"	"17-21SURC/S530-A3/TR8"	"EVERLIGHT(台湾亿光)"	""	"C72037"	"0.019"
"8"	"1k"	"R1,R18"	"R0805"	"2"	""	""	""	""	""
"9"	"CP2102-GMR"	"U5"	"WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2"	"1"	"CP2102-GMR"	"SILICON LABS(芯科)"	"LCSC"	"C6568"	"2.21"
"10"	"1u"	"C1"	"C0603"	"1"	""	""	""	""	""
"11"	"0.1u"	"C2,C3,C11"	"C0603"	"3"	""	""	""	""	""
"12"	"MBR120VLSFT1G"	"D1"	"SOD-123F_L2.8-W1.8-LS3.7-RD"	"1"	"MBR120VLSFT1G"	"ON Semicon"	"LCSC"	"C223608"	"0.137"
"13"	"DMG2305UX"	"Q1"	"SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR-1"	"1"	"DMG2305UX"	"TECH PUBLIC(台舟)"	"LCSC"	"C2940629"	"0.083"
"14"	"SS8050-G"	"Q2,Q3"	"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR"	"2"	"SS8050-G"	"CJ"	"LCSC"	"C164886"	"0.02"
"15"	"MCP73831T-2ACI/OT"	"U3"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	"1"	"MCP73831T-2ACI/OT"	"Microchip Tech"	"LCSC"	"C424093"	"0.81"
"16"	"2.2K"	"R19"	"R0805"	"1"	""	""	""	""	""
"17"	"10k"	"R16,R17"	"R0603"	"2"	""	""	""	""	""
"18"	"ESP32-WROVER-IE"	"U1"	"WIFI-SMD_ESP32-WROVER-E"	"1"	"ESP32-WROVER-IE"	"Espressif Systems"	"LCSC"	"C967024"	""
"19"	"22u"	"C10"	"C0603"	"1"	""	""	""	""	""
"20"	"JST_2PIN"	"J1"	"JST-PH-2-THM-RA"	"1"	"S2B-PH-K-S(LF)(SN)"	"JST Sales America Inc."	"Digi-Key"	"455-1719-ND"	""
"21"	"100SP1T1B4M2QE"	"SW15"	"100SP1T1B4M2QE"	"1"	"100SP1T1B4M2QE"	"E-Switch"	"Digi-Key"	"EG2355-ND"	""
"22"	"K3-2235D-F1"	"SW16"	"SW-TH_K3-2235D-F1"	"1"	"K3-2235D-F1"	"Rectangular Connectors - Contacts"	"LCSC"	"C189615"	"0.178"
"23"	"D6R90F1LFS"	"SW13,SW14,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12"	"SW-TH_D6R90F1LFS"	"14"	"D6R90F1LFS"	"C&K"	"LCSC"	"C221611"	"0.721"
"24"	"MICROXNJ"	"USB1"	"MICRO-USB-SMD_MICROXNJ"	"1"	"MicroXNJ"	"SHOU HAN"	"LCSC"	"C404969"	"0.035"
